tenpo_id,tenpo_name,status,place_id,phone,address,fields
TENPO#0101,新橋総本店,PLAN,ChIJm8xbEOqLGGARr0VlAEeGdBs,03-3437-1312,日本、〒105-0004 東京都港区新橋４丁目１４−３,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0110,MASSIMOTTVIO 店舗未設定,NO_MATCH,,,,
TENPO#0108,御座敷天婦羅　神楽坂 天孝,PLAN,ChIJjdT5wlqMGGARiq-C5_jJLvA,03-3269-1414,日本、〒162-0825 東京都新宿区神楽坂３丁目１,"address,google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0083,本店,PLAN,ChIJB_uD2R-TGGARBhiD7strsuw,070-5576-0115,日本、〒115-0045 東京都北区赤羽１丁目３９−５ ライオンビル明晃館 201,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international"
TENPO#0023,中野店,PLAN,ChIJWbVn_MvzGGAR1vEunGHs_V8,03-3228-4129,日本、〒164-0001 東京都中野区中野５丁目５４−６,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0085,大森店,PLAN,ChIJJXuDejJgGGARt-3o-xOkQ8A,,日本、〒143-0016 東京都大田区大森北１丁目２−１,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at"
TENPO#0053,新橋店,PLAN,ChIJNQUS1MGLGGARGY6SNFVcNag,03-3432-8222,日本、〒105-0004 東京都港区新橋５丁目１８−１ 新橋パークサイドビル 1F,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0084,大井町店,PLAN,ChIJiYXdTXyKGGARdKXRB-co690,03-5709-7777,日本、〒140-0014 東京都品川区大井１丁目２−１,"address,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0078,新橋本店,PLAN,ChIJ3UrA81uLGGARO14tTFIa8-8,03-6380-4820,日本、〒105-0004 東京都港区新橋４丁目１９−１ THビル 1F,"address,google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0123,神田小川町店 店舗未設定,PLAN,ChIJuU9ESxuMGGARkEJ5ciTv6nA,03-5289-3101,日本、〒101-0052 東京都千代田区神田小川町１丁目２,"address,google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0042,麹町店,PLAN,ChIJ3zrCRXuMGGAR4fk7q7L0ydQ,03-3261-0082,日本、〒102-0083 東京都千代田区麹町４丁目３−１０ 小倉ビル 1F,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0014,渋谷店,PLAN,ChIJvYmKrAyLGGARb9tOR1qC5W0,03-5422-3395,日本、〒150-0043 東京都渋谷区道玄坂１丁目５−５ 藤木ビル 2F,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0063,大衆串焼き酒場こがね,PLAN,ChIJG59UXYuWGGARkCgz8vLP6fY,050-5484-9256,日本、〒343-0845 埼玉県越谷市南越谷１丁目２０−４ 岩淵ビル 1F,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0010,神田店,PLAN,ChIJaXDbw_yNGGAR5fhw2xQMhDY,03-3256-0886,日本、〒101-0044 東京都千代田区鍛冶町１丁目６−２ 林ビル B1F,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0076,焼肉 松の屋,PLAN,ChIJQUCijYHzGGARCGSB9KyN94M,03-3427-4338,日本、〒154-0017 東京都世田谷区世田谷３丁目１−１０,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#a5ac0abc6dfe,N2,PLAN,ChIJOUqFX5uSGGARxPlSTwVhnC0,03-3916-2701,日本、〒114-0023 東京都北区滝野川７丁目２−４,"address,google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0068,神田南口店,PLAN,ChIJiR1mRACMGGARNeSOxLbMI4k,03-3516-8929,日本、〒103-0022 東京都中央区日本橋室町４丁目２−１,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international"
TENPO#0082,別館,PLAN,ChIJJXuDejJgGGARt-3o-xOkQ8A,,日本、〒143-0016 東京都大田区大森北１丁目２−１,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at"
TENPO#0102,新橋バーラウンジ御殿,PLAN,ChIJT5zjBQCLGGARxU9rgOKjZ5E,03-5422-1900,日本、〒105-0004 東京都港区新橋３丁目２１−１０ オルバスビル 3F,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#77f42e59665b,N,PLAN,ChIJNXI6MevtGGARl905b9IrRNM,090-9164-2900,日本、〒104-0061 東京都中央区銀座１丁目１５−１４ 北村企業ビル 4F,"maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0017,麹町店,PLAN,ChIJFXtXU3uMGGARYaNKnxbOf4o,03-3263-2025,日本、〒102-0083 東京都千代田区麹町４丁目１ 西脇ビル １Ｆ,"address,google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0027,水道橋店,PLAN,ChIJAzEllT-MGGARu4woyND35yQ,03-5215-1169,日本、〒101-0061 東京都千代田区神田三崎町２丁目１２−５ 大雅ビル,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international"
TENPO#0036,ルミネ立川,PLAN,ChIJ1XPc9HrhGGARUajXxvp4Al4,03-5334-0550,日本、〒190-0012 東京都立川市曙町２丁目１−１,"address,google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0067,平和台店,PLAN,ChIJ2VUK9frsGGARwI_1-0mL28U,03-3550-5066,日本、〒179-0083 東京都練馬区平和台２丁目５２−８,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0080,Mahaloh Import Shop,PLAN,ChIJ7QqGY_ZdGGARaWE8z8O_dkg,045-717-9800,日本、〒230-0041 神奈川県横浜市鶴見区潮田町３丁目１４２−５,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0034,本店,PLAN,ChIJM1tHzBssH2ARPDZtuA1FLog,048-556-1285,日本、〒361-0073 埼玉県行田市行田２０−１５,"address,google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#0111,すし土風炉 登戸店,PLAN,ChIJYcSFOyfxGGARyUNGucPvtxU,044-930-1144,日本、〒214-0014 神奈川県川崎市多摩区登戸３４６７−１ 橘ビル 3F,"google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
TENPO#831c7b195bff,DEMO店舗,PLAN,ChIJe0g9h74pH2ARysexyuNIcsc,048-522-2508,日本、〒360-0037 埼玉県熊谷市筑波２丁目１１５ アズ熊谷 3F,"address,google_map_url,map_url,maps_name,maps_place_id,maps_source,maps_updated_at,opening_hours,phone,phone_international,website"
